segment_id,filename,facade_label,ortho_to_street
684842474-684842485,img_684842474-684842485_h1_016.png,0.5,0.0
104572699-104573441,img_104572699-104573441_h0_004.png,1.0,1.0
104572699-104573441,img_104572699-104573441_h1_005.png,1.0,1.0
104572699-104573441,img_104572699-104573441_h1_003.png,1.0,1.0
104572699-104573441,img_104572699-104573441_h0_002.png,1.0,1.0
104572699-104573441,img_104572699-104573441_h0_000.png,1.0,1.0
104572699-736437289,img_104572699-736437289_h0_000.png,1.0,1.0
104572699-736437289,img_104572699-736437289_h1_001.png,0.5,0.5
104572699-104573441,img_104572699-104573441_h1_001.png,1.0,1.0
104572699-736437289,img_104572699-736437289_h1_003.png,0.0,0.5
104572699-736437289,img_104572699-736437289_h0_002.png,0.5,0.5
106099212-736437289,img_106099212-736437289_h1_005.png,0.0,0.0
684828139-684828146,img_684828139-684828146_h1_007.png,0.0,0.0
684828146-684828149,img_684828146-684828149_h0_002.png,0.5,0.5
684828139-684828146,img_684828139-684828146_h0_006.png,0.0,0.0
106099212-736437289,img_106099212-736437289_h1_001.png,0.0,0.0
106099212-684828146,img_106099212-684828146_h1_003.png,0.0,0.0
106099212-684828146,img_106099212-684828146_h0_002.png,0.0,0.0
106099212-736437289,img_106099212-736437289_h0_000.png,0.0,0.0
104472649-104572648,img_104472649-104572648_h0_004.png,0.0,0.0
104572642-104572648,img_104572642-104572648_h1_007.png,0.0,0.0
104472649-106099212,img_104472649-106099212_h0_004.png,0.5,0.5
104472649-106099212,img_104472649-106099212_h1_005.png,0.5,1.0
684828146-684828149,img_684828146-684828149_h1_001.png,0.0,0.0
684828146-684828149,img_684828146-684828149_h0_000.png,0.5,0.0
104472649-106099212,img_104472649-106099212_h1_013.png,1.0,0.5
106099212-684828146,img_106099212-684828146_h1_001.png,0.0,0.0
106099212-684828146,img_106099212-684828146_h0_000.png,0.0,0.0
684828139-684828146,img_684828139-684828146_h0_008.png,0.0,0.0
106099212-736437289,img_106099212-736437289_h0_004.png,0.0,0.0
684828146-684828149,img_684828146-684828149_h1_003.png,0.5,0.5
684800917-684828139,img_684800917-684828139_h0_008.png,1.0,1.0
684800917-684828139,img_684800917-684828139_h1_009.png,0.5,0.5
684800917-684828139,img_684800917-684828139_h0_004.png,1.0,1.0
684828139-684828146,img_684828139-684828146_h1_005.png,0.0,0.5
684800917-684828139,img_684800917-684828139_h1_005.png,0.0,0.5
684828139-684828146,img_684828139-684828146_h0_004.png,1.0,1.0
684800917-684828139,img_684800917-684828139_h1_007.png,0.0,0.5
106099212-736437289,img_106099212-736437289_h1_009.png,0.5,0.5
106099212-736437289,img_106099212-736437289_h0_008.png,0.5,0.5
684842467-736437289,img_684842467-736437289_h0_008.png,0.5,0.5
684842467-736437289,img_684842467-736437289_h1_009.png,0.5,0.5
684842311-1362263182,img_684842311-1362263182_h1_025.png,1.0,1.0
684842311-684842331,img_684842311-684842331_h0_034.png,1.0,1.0
684842311-684842331,img_684842311-684842331_h1_035.png,1.0,1.0
684828175-684828213,img_684828175-684828213_h0_004.png,1.0,1.0
684828130-684842314,img_684828130-684842314_h0_040.png,0.5,0.5
684828130-684842314,img_684828130-684842314_h1_041.png,0.5,0.5
684842311-1362263182,img_684842311-1362263182_h0_024.png,0.5,0.5
684842320-684842330,img_684842320-684842330_h0_022.png,0.5,0.5
684842320-684842330,img_684842320-684842330_h1_023.png,0.5,1.0
684828175-684828213,img_684828175-684828213_h1_005.png,1.0,1.0
684842507-4138729482,img_684842507-4138729482_h0_000.png,0.0,0.0
